Rank,Score,Name,City,State,Google Maps Link
1,10,Monte's Restaurant,Lynn,MA,https://www.google.com/maps/search/?api=1&query=1%2010
2,9.4,Di Fara Pizza,Brooklyn,NY,https://www.google.com/maps/search/?api=1&query=2%209.4
2,9.4,DeLucia's Brick Oven Pizza,Raritan,NJ,https://www.google.com/maps/search/?api=1&query=2%209.4
2,9.4,Frank Pepe Pizzeria Napoletana,Chestnut Hill,MA,https://www.google.com/maps/search/?api=1&query=2%209.4
5,9.3,Luigi's Pizza,Brooklyn,NY,https://www.google.com/maps/search/?api=1&query=5%209.3
5,9.3,Lucali,Brooklyn,NY,https://www.google.com/maps/search/?api=1&query=5%209.3
5,9.3,John's of Bleecker Street,New York,NY,https://www.google.com/maps/search/?api=1&query=5%209.3
5,9.3,Oath Pizza,Nantucket,MA,https://www.google.com/maps/search/?api=1&query=5%209.3
5,9.3,Angelo's Coal Oven Pizzeria,New York,NY,https://www.google.com/maps/search/?api=1&query=5%209.3
5,9.3,Lazzara's Pizza,New York,NY,https://www.google.com/maps/search/?api=1&query=5%209.3
11,9.2,Sally's Apizza,New Haven,CT,https://www.google.com/maps/search/?api=1&query=11%209.2
11,9.2,Ceres,New York,NY,https://www.google.com/maps/search/?api=1&query=11%209.2
11,9.2,Halftime Pizza,Boston,MA,https://www.google.com/maps/search/?api=1&query=11%209.2
11,9.2,Rosie's Subs and Pizza,Braintree,MA,https://www.google.com/maps/search/?api=1&query=11%209.2
11,9.2,De Lorenzo’s Tomato Pies,Robbinsville,NJ,https://www.google.com/maps/search/?api=1&query=11%209.2
16,9.1,Best Pizza,Brooklyn,NY,https://www.google.com/maps/search/?api=1&query=16%209.1
16,9.1,Regina Pizzeria,Boston,MA,https://www.google.com/maps/search/?api=1&query=16%209.1
16,9.1,Johnny's Pizzeria,Mount Vernon,NY,https://www.google.com/maps/search/?api=1&query=16%209.1
16,9.1,The Little Rendezvous,Meriden,CT,https://www.google.com/maps/search/?api=1&query=16%209.1
16,9.1,Sauce Pizzeria,New York,NY,https://www.google.com/maps/search/?api=1&query=16%209.1
16,9.1,Angelo’s Pizzeria,Philadelphia,PA,https://www.google.com/maps/search/?api=1&query=16%209.1
22,9.0,Town Spa Pizza,Stoughton,MA,https://www.google.com/maps/search/?api=1&query=22%209.0
22,9.0,Denino's Greenwich Village,New York,NY,https://www.google.com/maps/search/?api=1&query=22%209.0
24,8.9,Ralph's Pizzeria,Nutley,NJ,https://www.google.com/maps/search/?api=1&query=24%208.9
24,8.9,Mister O1- South Beach,Miami Beach,FL,https://www.google.com/maps/search/?api=1&query=24%208.9
24,8.9,Brooklyn Square Pizza,Jackson,NJ,https://www.google.com/maps/search/?api=1&query=24%208.9
24,8.9,Conte's Pizza,Princeton,NJ,https://www.google.com/maps/search/?api=1&query=24%208.9
24,8.9,Calabria Pizzeria & Restaurant,Livingston,NJ,https://www.google.com/maps/search/?api=1&query=24%208.9
29,8.8,Modern Apizza,New Haven,CT,https://www.google.com/maps/search/?api=1&query=29%208.8
29,8.8,Nancy’s Towne House,Rahway,NJ,https://www.google.com/maps/search/?api=1&query=29%208.8
29,8.8,Federici’s Family Restaurant,Freehold,NJ,https://www.google.com/maps/search/?api=1&query=29%208.8
29,8.8,Pino’s Pizza,Brighton,MA,https://www.google.com/maps/search/?api=1&query=29%208.8
29,8.8,Angeloni’s Restaurant & Pizzeria,Caldwell,NJ,https://www.google.com/maps/search/?api=1&query=29%208.8
34,8.7,Sorrento’s,Long Beach,NY,https://www.google.com/maps/search/?api=1&query=34%208.7
34,8.7,Fredi The PizzaMan,Melvindale,MI,https://www.google.com/maps/search/?api=1&query=34%208.7
34,8.7,F & F Pizzeria,Brooklyn,NY,https://www.google.com/maps/search/?api=1&query=34%208.7
34,8.7,Ignazio's,Brooklyn,NY,https://www.google.com/maps/search/?api=1&query=34%208.7
34,8.7,Columbia Inn Restaurant,Montville,NJ,https://www.google.com/maps/search/?api=1&query=34%208.7
39,8.6,Nunzio's Pizzeria,Long Branch,NJ,https://www.google.com/maps/search/?api=1&query=39%208.6
39,8.6,Tommy’s Pizza,Bronx,NY,https://www.google.com/maps/search/?api=1&query=39%208.6
